action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
,,,,,,,,ord_8f9d4c62,,target_discovery,,,,,,,target_discovery,accepted_beta_order_intent,
,Milano,0.75,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,,MI,not_applicable,77,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-001,,https://studiodentisticocozzolino.it/,score,,Studio Dentistico Cozzolino
,Milano,0.75,buy_deep_analysis,deep_analysis_ready,studiodentisticocozzolino.it,1,deep_analysis,ord_37a04e89,high,deep_analysis,MI,not_applicable,77,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-001,,https://studiodentisticocozzolino.it/,purchase,,Studio Dentistico Cozzolino
score below natural action threshold 80,Milano,0.75,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,action_pack,MI,not_applicable,77,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-001,ord_37a04e89,https://studiodentisticocozzolino.it/,action_pack_not_bought,,Studio Dentistico Cozzolino
,Milano,0.53,nurture,,studiodentisticocavorretti.it,2,nurture_signal,,high,,MI,not_applicable,81,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-002,,https://studiodentisticocavorretti.it/,score,,Studio Dentistico Cavorretti
,Milano,0.53,nurture,nurture_signal_ready,studiodentisticocavorretti.it,2,nurture_signal,ord_6b458db0,high,nurture_signal,MI,not_applicable,81,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-002,,https://studiodentisticocavorretti.it/,purchase,,Studio Dentistico Cavorretti
,Milano,0.62,nurture,,studiodentisticocannizzo.it,3,nurture_signal,,high,,MI,not_applicable,80,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-003,,https://studiodentisticocannizzo.it/,score,,Studio Dentistico Cannizzo
,Milano,0.62,nurture,nurture_signal_ready,studiodentisticocannizzo.it,3,nurture_signal,ord_57961378,high,nurture_signal,MI,not_applicable,80,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-003,,https://studiodentisticocannizzo.it/,purchase,,Studio Dentistico Cannizzo
,Milano,0.73,nurture,,studiodottorpini.it,4,nurture_signal,,medium,,MI,not_applicable,74,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-004,,https://studiodottorpini.it/,score,,Studio Dentistico Pini
,Milano,0.73,nurture,nurture_signal_ready,studiodottorpini.it,4,nurture_signal,ord_84e62fb7,medium,nurture_signal,MI,not_applicable,74,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-004,,https://studiodottorpini.it/,purchase,,Studio Dentistico Pini
,Milano,0.44,needs_verification,,studiodentisticozambianchi.it,5,verification,,medium,,MI,not_applicable,64,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-005,,https://studiodentisticozambianchi.it/,score,,Studio Dentistico Zambianchi
,Milano,0.44,needs_verification,verification_ready,studiodentisticozambianchi.it,5,verification,ord_3290dcd4,medium,verification,MI,not_applicable,64,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-005,,https://studiodentisticozambianchi.it/,purchase,,Studio Dentistico Zambianchi
,Milano,0.77,nurture,,studiobelloni.com,6,nurture_signal,,medium,,MI,not_applicable,69,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-006,,https://studiobelloni.com/,score,,Studio Belloni
,Milano,0.77,nurture,nurture_signal_ready,studiobelloni.com,6,nurture_signal,ord_7e21b114,medium,nurture_signal,MI,not_applicable,69,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-006,,https://studiobelloni.com/,purchase,,Studio Belloni
,Milano,0.35,needs_verification,,studiolombardo.srl,7,verification,,high,,MI,not_applicable,76,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-007,,https://studiolombardo.srl/,score,,Studio Lombardo
,Milano,0.35,needs_verification,verification_ready,studiolombardo.srl,7,verification,ord_20d3e8d2,high,verification,MI,not_applicable,76,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-007,,https://studiolombardo.srl/,purchase,,Studio Lombardo
,Milano,0.35,needs_verification,,studiodentisticosalvetti.it,8,verification,,medium,,MI,not_applicable,56,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-008,,https://studiodentisticosalvetti.it/,score,,Studio Dentistico Salvetti
,Milano,0.35,needs_verification,verification_ready,studiodentisticosalvetti.it,8,verification,ord_887819eb,medium,verification,MI,not_applicable,56,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-008,,https://studiodentisticosalvetti.it/,purchase,,Studio Dentistico Salvetti
,Milano,0.4,needs_verification,,studiodentisticodonati.eu,9,verification,,medium,,MI,not_applicable,70,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-009,,https://studiodentisticodonati.eu/,score,,Studio Dentistico Donati
,Milano,0.4,needs_verification,verification_ready,studiodentisticodonati.eu,9,verification,ord_7e90c95e,medium,verification,MI,not_applicable,70,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-009,,https://studiodentisticodonati.eu/,purchase,,Studio Dentistico Donati
,Milano,0.42,needs_verification,,studiodentisticoaiello.it,10,verification,,medium,,MI,not_applicable,50,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-010,,https://studiodentisticoaiello.it/,score,,Studio Dentistico Aiello
,Milano,0.42,needs_verification,verification_ready,studiodentisticoaiello.it,10,verification,ord_2b6ceb04,medium,verification,MI,not_applicable,50,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-010,,https://studiodentisticoaiello.it/,purchase,,Studio Dentistico Aiello
,Milano,0.48,needs_verification,,claradent.it,11,verification,,medium,,MI,not_applicable,74,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-011,,https://claradent.it/,score,,Claradent
,Milano,0.48,needs_verification,verification_ready,claradent.it,11,verification,ord_a0ee9199,medium,verification,MI,not_applicable,74,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-011,,https://claradent.it/,purchase,,Claradent
,Brescia,0.49,needs_verification,,studiodentisticogazzoli.it,12,verification,,medium,,BS,not_applicable,56,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-012,,https://studiodentisticogazzoli.it/,score,,Studio Dentistico Gazzoli
,Brescia,0.49,needs_verification,verification_ready,studiodentisticogazzoli.it,12,verification,ord_f7ab7fac,medium,verification,BS,not_applicable,56,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-012,,https://studiodentisticogazzoli.it/,purchase,,Studio Dentistico Gazzoli
,Brescia,0.35,needs_verification,,dentalp.it,13,verification,,high,,BS,not_applicable,76,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-013,,https://dentalp.it/,score,,Dental P
,Brescia,0.35,needs_verification,verification_ready,dentalp.it,13,verification,ord_83746dc5,high,verification,BS,not_applicable,76,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-013,,https://dentalp.it/,purchase,,Dental P
,Brescia,0.48,needs_verification,,ferlinghettiandrea.it,14,verification,,medium,,BS,not_applicable,64,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-014,,https://ferlinghettiandrea.it/,score,,Studio Ferlinghetti Andrea
,Brescia,0.48,needs_verification,verification_ready,ferlinghettiandrea.it,14,verification,ord_e70f7332,medium,verification,BS,not_applicable,64,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-014,,https://ferlinghettiandrea.it/,purchase,,Studio Ferlinghetti Andrea
,Brescia,0.63,watchlist,,studioodontoiatricofranchini.it,15,,,medium,,BS,not_applicable,54,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-015,,https://studioodontoiatricofranchini.it/,score,,Studio Odontoiatrico Franchini
,Brescia,0.74,watchlist,,studioodontoiatricomarini.it,16,,,medium,,BS,not_applicable,52,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-016,,https://studioodontoiatricomarini.it/,score,,Studio Odontoiatrico Marini
,Brescia,0.48,needs_verification,,studiodentisticobrescia.it,17,verification,,medium,,BS,not_applicable,65,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-017,,https://studiodentisticobrescia.it/,score,,Studio Dentistico Brescia
,Brescia,0.48,needs_verification,verification_ready,studiodentisticobrescia.it,17,verification,ord_326066f2,medium,verification,BS,not_applicable,65,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-017,,https://studiodentisticobrescia.it/,purchase,,Studio Dentistico Brescia
,Brescia,0.54,nurture,,studiodentisticosandrozamboni.it,18,nurture_signal,,high,,BS,not_applicable,79,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-018,,https://studiodentisticosandrozamboni.it/,score,,Studio Dentistico Sandro Zamboni
,Brescia,0.54,nurture,nurture_signal_ready,studiodentisticosandrozamboni.it,18,nurture_signal,ord_77ad5bd,high,nurture_signal,BS,not_applicable,79,target-discovery-100-dentists-lombardy-20260602-115322-1780394002-score-018,,https://studiodentisticosandrozamboni.it/,purchase,,Studio Dentistico Sandro Zamboni
